ssvid,lat,lon,timestamp,length_m
636011397,-12.032513333299999,-77.183605,2020-03-15 11:28:16+00:00,130.68677358402448
636012630,-12.0310933333,-77.21311999999999,2020-03-02 20:47:09+00:00,185.0815458611464
636016590,-12.051858333299998,-77.1512366667,2020-03-11 00:48:02+00:00,167.51722845679458
636017034,-12.0490133333,-77.1457333333,2020-03-02 17:41:40+00:00,146.66636763084745
636019828,-12.0431466667,-77.1454133333,2020-03-23 03:43:52+00:00,174.4203467760333
636092752,-12.0339466667,-77.1933333333,2020-03-21 14:31:28+00:00,197.88339057186872
636092848,-12.052,-77.1511733333,2020-03-06 07:25:26+00:00,215.10106679654515
725001564,-12.04472,-77.1513333333,2020-03-31 03:28:23+00:00,34.89395608394181
735057638,-12.0308533333,-77.2310666667,2020-03-21 20:00:02+00:00,77.36500000000002
760000210,-12.042833333299999,-77.2245,2020-03-06 13:01:15+00:00,47.62
760000230,-12.043543333299999,-77.16892,2020-03-16 00:21:42+00:00,44.680000305176
760000610,-12.0428516667,-77.1435866667,2020-03-05 15:13:18+00:00,44.35115523722035
760000970,-12.031813333299999,-77.16784,2020-03-08 14:46:15+00:00,66.15338507632372
760001000,-12.0563366667,-77.1524083333,2020-03-01 11:29:38+00:00,16.174076180190912
760001200,-12.0496,-77.1446666667,2020-03-08 04:44:24+00:00,27.99173723185686
760001280,-12.0430133333,-77.1513333333,2020-03-03 02:51:20+00:00,125.0787100382436
760001540,-12.0571733333,-77.1561066667,2020-03-08 19:18:56+00:00,36.66340668825226
760001570,-12.049786666700001,-77.1446666667,2020-03-31 22:42:19+00:00,28.531877907615375
760001680,-12.0566516667,-77.15415,2020-03-08 22:37:12+00:00,21.804765596245453
760002100,-12.0318933333,-77.1874933333,2020-03-08 03:38:45+00:00,87.06438404098076
760002220,-12.0432266667,-77.1686133333,2020-03-08 09:21:44+00:00,28.340827945530766
760002290,-12.056906666700002,-77.15184,2020-03-18 15:12:36+00:00,20.1518213568125
760002650,-12.050425,-77.1575533333,2020-03-31 20:48:02+00:00,20.060835969790002
760002710,-12.0569383333,-77.1522783333,2020-03-20 15:33:33+00:00,20.07738598825
760002915,-12.0410666667,-77.1650666667,2020-03-08 16:13:08+00:00,41.121354136464
760002960,-12.04008,-77.1405866667,2020-03-11 15:15:03+00:00,37.121303683346156
760002990,-12.056871666700001,-77.15205999999999,2020-03-08 01:33:22+00:00,19.806315857616667
760010399,-12.0406666667,-77.16704,2020-03-10 15:32:18+00:00,45.22000122070301
760011391,-12.0410666667,-77.1710133333,2020-03-13 14:13:59+00:00,51.73
760012186,-12.04168,-77.16621333329999,2020-03-08 01:45:00+00:00,39.607177685993975
760016948,-12.0414166667,-77.1688933333,2020-03-17 02:12:00+00:00,40.70365936757928
760018517,-12.04088,-77.1685333333,2020-03-11 02:12:26+00:00,43.72634569112682
760018812,-12.0449333333,-77.14128000000001,2020-03-07 15:27:58+00:00,50.599998474121
760022698,-12.0829933333,-77.1706033333,2020-03-30 10:42:19+00:00,18.008706695249995
760111409,-12.04152,-77.1622483333,2020-03-10 22:03:28+00:00,36.9587544117625
760123456,-12.039653333299999,-77.14082666670001,2020-03-05 19:36:30+00:00,35.464508334
760139000,-12.0557333333,-77.1598133333,2020-03-31 03:47:09+00:00,95.3
760145863,-12.059005,-77.2267616667,2020-03-08 17:43:00+00:00,22.71218274548077
760500303,-12.05224,-77.1489066667,2020-03-24 03:00:06+00:00,29.271071771343475
760911229,-12.0579733333,-77.1535733333,2020-03-24 15:14:43+00:00,22.927403761482765
