Unnamed: 0.1,target_id,item_id,datetime,probability,latitude,longitude,bounding_box,area,major_length,minor_length,length
50,20200302_150447_103e_9_20_0,20200302_150447_103e,2020-03-02 15:04:47,0.5944709181785583,-12.031863989140682,-77.1873344481564,[290.72488   74.941414 299.        88.38355 ],1001.1173071637752,40.326416015625,24.825347900390625,47.355229141465315
51,20200302_150447_103e_9_21_0,20200302_150447_103e,2020-03-02 15:04:47,0.5633199214935303,-12.03247595587893,-77.18703487381747,[  3.1066504  96.24396    10.730564  112.051544 ],1084.6410984316317,47.42276000976562,22.87174129486084,52.65011601889276
52,20200302_150447_103e_9_23_0,20200302_150447_103e,2020-03-02 15:04:47,0.9529702067375184,-12.035531175112753,-77.16654916087002,[146.82419 198.24014 160.30325 223.64377],3081.754059333355,76.21087646484375,40.43719482421875,86.27435549913716
53,20200302_150447_103e_9_23_1,20200302_150447_103e,2020-03-02 15:04:47,0.8199249505996704,-12.03224775511724,-77.16731326094927,[120.67034  82.49153 129.06396  97.62085],1142.9081897152355,45.38795471191406,25.180870056152344,51.9051312464923
54,20200302_150447_103e_9_23_2,20200302_150447_103e,2020-03-02 15:04:47,0.6339802742004395,-12.036448148865599,-77.16792511961022,[ 99.859085 235.49097  107.892654 254.82413 ],1397.8285610340536,57.99948120117188,24.1007080078125,62.807515044641974
55,20200302_150447_103e_9_23_3,20200302_150447_103e,2020-03-02 15:04:47,0.5948809981346129,-12.031703970565033,-77.16443988098194,[225.3768   61.82914 232.68268  76.52482],966.2834805138408,44.0870361328125,21.917633056640625,49.23463611911294
56,20200302_150447_103e_10_23_0,20200302_150447_103e,2020-03-02 15:04:47,0.8815798759460449,-12.042079012071454,-77.16896928772267,[ 63.739853 140.93123   71.47545  167.3571  ],1839.7788129374383,79.27761840820312,23.206787109375,82.60445356284684
57,20200302_150447_103e_10_23_1,20200302_150447_103e,2020-03-02 15:04:47,0.8066413402557373,-12.04073741055939,-77.16842784233347,[ 82.48957   95.302956  91.25791  113.70823 ],1452.4534339606762,55.2158203125,26.30502319335937,61.161597902486676
58,20200302_150447_103e_10_23_2,20200302_150447_103e,2020-03-02 15:04:47,0.7711504101753235,-12.043516333505965,-77.16503323385794,[207.13258 197.42812 214.71266 214.63136],1173.617611169815,51.6097412109375,22.740234375,56.39755001141337
59,20200302_150447_103e_10_23_3,20200302_150447_103e,2020-03-02 15:04:47,0.716103732585907,-12.03923505381045,-77.16549367604416,[190.43839   35.556602 195.4834    60.94805 ],1152.9018092388287,76.17434692382812,15.135040283203125,77.66337987524045
60,20200302_150447_103e_10_23_4,20200302_150447_103e,2020-03-02 15:04:47,0.5765362977981567,-12.042596627514426,-77.1643190944437,[232.64667 165.05318 240.51633 178.75313],970.3255486115812,41.099853515625,23.60897827148437,47.398120363884196
61,20200302_150447_103e_10_23_5,20200302_150447_103e,2020-03-02 15:04:47,0.5210884809494019,-12.042145469766462,-77.16797649703783,[ 99.26198 149.24234 108.07782 163.37894],1121.6339833382517,42.4097900390625,26.447525024414066,49.980614952943235
62,20200302_150447_103e_10_24_0,20200302_150447_103e,2020-03-02 15:04:47,0.8942351341247559,-12.03939716096212,-77.15976614621094,[ 97.21768   42.795376 106.67267   62.39172 ],1667.5485239708796,58.78903198242188,28.364959716796875,65.2742002721269
63,20200302_150447_103e_10_24_1,20200302_150447_103e,2020-03-02 15:04:47,0.6079912781715393,-12.041906740550106,-77.15797533131682,[164.78435 138.92021 170.59145 150.36858],598.3359987102449,34.3450927734375,17.421295166015625,38.51086759445271
64,20200302_150447_103e_10_24_2,20200302_150447_103e,2020-03-02 15:04:47,0.5839637517929077,-12.042508197514136,-77.1587843121702,[134.51723 156.34799 142.46834 177.77036],1532.9842641055584,64.26708984375,23.85333251953125,68.5510051660219
65,20200302_150447_103e_10_24_3,20200302_150447_103e,2020-03-02 15:04:47,0.5658071637153625,-12.04287717122035,-77.16195175747855,[ 19.595455 171.57614   27.620193 191.57047 ],1444.042940919986,59.98297119140625,24.07421493530273,64.63377335186478
66,20200302_150447_103e_10_24_4,20200302_150447_103e,2020-03-02 15:04:47,0.5174856781959534,-12.045247887695329,-77.16248673780166,[  1.1851959 265.44717     8.564143  272.88657  ],494.0539367625607,22.31817626953125,22.136841773986816,31.434706229331866
67,20200302_150447_103e_10_24_5,20200302_150447_103e,2020-03-02 15:04:47,0.5090887546539307,-12.043712813412034,-77.16140233115995,[ 39.560444 203.47623   48.03378  220.99915 ],1336.2980849628802,52.56875610351562,25.420005798339844,58.3922153463845
70,20200302_150447_103e_10_25_2,20200302_150447_103e,2020-03-02 15:04:47,0.8099391460418701,-12.043982425302179,-77.14623909118629,[291.72464 206.1399  299.      229.58392],1535.0738954488183,70.33209228515625,21.826080322265625,73.64089208749257
72,20200302_150447_103e_10_26_1,20200302_150447_103e,2020-03-02 15:04:47,0.979389488697052,-12.042886255698724,-77.14123806407419,[160.70085 165.84758 194.50575 186.17967],6185.919323919341,101.41470336914062,60.99627685546875,118.34478378737178
75,20200302_150447_103e_10_26_4,20200302_150447_103e,2020-03-02 15:04:47,0.7862702012062073,-12.044186820322773,-77.1421726324442,[133.77168 213.54706 154.3267  234.94751],3958.9810220059007,64.20135498046875,61.66506958007813,89.01906979767895
76,20200302_150447_103e_10_26_5,20200302_150447_103e,2020-03-02 15:04:47,0.5934135317802429,-12.044115237266505,-77.1419567780622,[143.62155 210.09723 160.10828 232.9946 ],3397.523660243489,68.69210815429689,49.46017456054688,84.64581850417296
77,20200302_150447_103e_10_26_6,20200302_150447_103e,2020-03-02 15:04:47,0.5798718333244324,-12.044082497407313,-77.1422666877479,[133.76328 210.6416  147.44592 230.21075],2409.8204167876393,58.70745849609375,41.047943115234375,71.63448413342618
80,20200302_150447_103e_11_24_0,20200302_150447_103e,2020-03-02 15:04:47,0.9036354422569276,-12.046328365883667,-77.15549400245594,[253.62639     1.2129188 264.47733    14.829891 ],1329.8121312326111,40.85091590881348,32.552810668945305,52.23488119099295
81,20200302_150447_103e_11_24_1,20200302_150447_103e,2020-03-02 15:04:47,0.6847485899925232,-12.04957410358753,-77.15479807937184,[277.81097 118.47756 292.7024  136.59634],2428.3292880677623,54.356346130371094,44.67425537109375,70.35908937448244
82,20200302_150447_103e_11_25_0,20200302_150447_103e,2020-03-02 15:04:47,0.96757310628891,-12.053935867861847,-77.14649249889443,[279.06998 273.2462  299.      298.85233],4592.978701354936,76.81842041015625,59.79006958007813,97.34434824221741
