target_id,item_id,datetime,probability,latitude,longitude,bounding_box,area,major_length,minor_length,length
20200318_150411__1_1_0,20200318_150411_,2020-03-18 15:04:11,0.6076215505599976,-12.319523745993619,-76.93462714609177,[231.55533 122.69148 277.7523  134.25148],4806.330750066787,138.59088134765622,34.67999267578125,142.86404125850692
20200318_150413__3_1_0,20200318_150413_,2020-03-18 15:04:13,0.7339832186698914,-12.473203283571706,-76.96538493418554,[125.32497 168.21716 136.79323 198.40509],3115.827453643084,90.56378173828124,34.40478515625,96.87872730577524
20200318_150413__6_2_0,20200318_150413_,2020-03-18 15:04:13,0.9744797348976136,-12.497344777450076,-76.95369645017628,[256.81274 157.1489  267.64636 189.8996 ],3193.2773913256824,98.25210571289062,32.5008544921875,103.48807573696294
20200319_151205__6_20_0,20200319_151205_,2020-03-19 15:12:05,0.771239161491394,-12.319108362160033,-76.98328046529045,[242.26273 264.58545 252.24054 291.46942],2414.1893972810362,80.65191650390625,29.93344116210937,86.02756846243261
20200319_151205__7_6_0,20200319_151205_,2020-03-19 15:12:05,0.5028448104858398,-12.32316455376674,-77.1032010226224,[ 74.8559  156.62485  96.33962 166.84375],1975.8602734138253,64.45115661621094,30.656707763671875,71.37075955932184
20200319_151205__8_7_0,20200319_151205_,2020-03-19 15:12:05,0.7298827171325684,-12.334668652014098,-77.08942827651722,[283.4566  270.87857 295.2807  295.38956],2608.382448524237,73.532958984375,35.4722900390625,81.64177495383811
20200319_151205__9_4_0,20200319_151205_,2020-03-19 15:12:05,0.7519105672836304,-12.339807083393275,-77.11904499183122,[ 99.70568 166.91177 128.02534 197.2609 ],7735.292209032924,91.04736328125,84.95899200439453,124.52972610132363
20200319_151205__9_4_1,20200319_151205_,2020-03-19 15:12:05,0.5019729137420654,-12.337400908811462,-77.11878506515238,[117.24782   84.66581  127.93138  101.862404],1653.4881173428146,51.58978271484375,32.050689697265625,60.73510015333143
20200319_151205__9_8_0,20200319_151205_,2020-03-19 15:12:05,0.6413055658340454,-12.340617931800654,-77.08247073709782,[237.04384 193.33585 251.70522 209.85507],2179.7514040321107,49.55767822265625,43.984130859375,66.26135554208774
20200319_151205__10_3_0,20200319_151205_,2020-03-19 15:12:05,0.8818979263305664,-12.343342708729464,-77.12316102965688,[230.2779     4.977276 299.        24.370148],11994.47112136404,206.16632080078125,58.17861557006836,214.21788707337313
20200319_151205__10_5_0,20200319_151205_,2020-03-19 15:12:05,0.6481070518493652,-12.343820861652675,-77.1084618137422,[192.06126   17.72907  207.55211   38.470467],2891.7156967066685,62.22418785095215,46.4725341796875,77.66302844206376
20200319_151206__1_7_0,20200319_151206_,2020-03-19 15:12:06,0.8587838411331177,-12.3437950826443,-77.10848233509964,[ 66.09596  187.64478   78.014145 208.66486 ],2254.690383179113,63.06024169921875,35.754547119140625,72.49125273340732
20200319_151206__4_10_0,20200319_151206_,2020-03-19 15:12:06,0.5512992739677429,-12.366564164940591,-77.07958113583645,[222.16872 125.87141 237.01472 139.61617],1836.4932032064532,44.53802490234375,41.234275817871094,60.6951494307911
20200319_151206__4_11_0,20200319_151206_,2020-03-19 15:12:06,0.6451443433761597,-12.367603773352213,-77.07327714976898,[143.25214 163.2954  175.67035 175.329  ],3510.97021702677,97.254638671875,36.10079956054688,103.73877034218087
20200319_151206__5_9_0,20200319_151206_,2020-03-19 15:12:06,0.6200888752937317,-12.37730895081937,-77.09232158655995,[ 51.71733  224.01143   87.769424 243.27913 ],6251.768361758441,108.15628051757812,57.8031005859375,122.63351684080929
20200319_151206__5_12_0,20200319_151206_,2020-03-19 15:12:06,0.6506009101867676,-12.372934408306525,-77.06308758506721,[226.7645    53.274353 236.09998   74.845825],1812.420371761545,64.71441650390625,28.00643920898437,70.51465337507936
20200319_151206__5_13_0,20200319_151206_,2020-03-19 15:12:06,0.5663673877716064,-12.372762445826039,-77.05451250478195,[230.7847    41.828224 255.79764   68.81756 ],6075.743218962103,80.96800231933594,75.038818359375,110.39312324757944
20200319_151206__5_16_0,20200319_151206_,2020-03-19 15:12:06,0.5247373580932617,-12.374163169784431,-77.03124506724453,[175.93935   92.537346 204.63438  108.5346  ],4131.376129740849,86.08511352539062,47.99176025390625,98.55889519950905
20200319_151206__7_4_0,20200319_151206_,2020-03-19 15:12:06,0.657913088798523,-12.38866116540777,-77.13077116884598,[160.78429   61.182186 187.20314   69.56664 ],1993.5696031426776,79.25656127929688,25.15336990356445,83.1522370313901
20200319_151206__7_14_0,20200319_151206_,2020-03-19 15:12:06,0.5693835616111755,-12.39035963182794,-77.04744770068973,[192.05365   97.841675 218.77579  110.90796 ],3142.431376431137,80.16641235351562,39.1988525390625,89.23678451184281
